,ChildID,ChildEthnicity,ChildLanguage,ChildRace,ChildFlags,ChildDateofBirth,Age (as of current day),Best Interest,In Attendance,Other,Sick,Unexcused Absence,FD,PD,Center,Total Attendance,Total Absence,Total Days,Attendance Rate
0,31583,Hispanic or Latino,00 -- English,['Caucasian'],['Emergency Care'],05/22/2010,12,10,74.0,27,12,11,226.0,0.0,['Linda Vista'],74.0,60,134.0,0.5522388059701493
1,37814,Hispanic or Latino,00 -- English,['Caucasian'],"['Admissions Agreement #14 (check box if Yes)', 'Admissions Agreement #16 (check box if Yes)', 'Admissions Agreement #15 (check box if Yes)', 'School Age']",09/22/2009,13,1,53.0,9,1,0,226.0,0.0,['Linda Vista'],53.0,11,64.0,0.828125
2,37815,Hispanic or Latino,00 -- English,['Caucasian'],"['Admissions Agreement #15 (check box if Yes)', 'School Age', 'Admissions Agreement #16 (check box if Yes)', 'Admissions Agreement #14 (check box if Yes)']",01/01/2012,10,0,53.0,10,1,0,226.0,0.0,['Linda Vista'],53.0,11,64.0,0.828125
3,40481,Hispanic or Latino,00 -- English,['Caucasian'],[nan],03/08/2013,9,1,11.0,0,1,0,226.0,0.0,['Linda Vista'],11.0,2,13.0,0.8461538461538461
4,40604,Hispanic or Latino,00 -- English,['Caucasian'],['Emergency Care'],01/25/2009,13,0,14.0,0,8,0,22.0,0.0,['Linda Vista'],14.0,8,22.0,0.6363636363636364
5,40605,Hispanic or Latino,00 -- English,['Caucasian'],['Emergency Care'],10/12/2010,12,5,153.0,8,44,0,226.0,0.0,['Linda Vista'],153.0,57,210.0,0.7285714285714285
6,40966,Hispanic or Latino,00 -- English,['Caucasian'],['Shelter-In-Place'],11/29/2008,13,0,0.0,0,0,0,22.0,0.0,['Linda Vista'],0.0,0,0.0,
7,40967,Hispanic or Latino,00 -- English,['Caucasian'],[nan],12/07/2012,9,0,25.0,0,0,0,226.0,0.0,['Linda Vista'],25.0,0,25.0,1.0
8,41176,Hispanic or Latino,00 -- English,['Caucasian'],[nan],04/22/2010,12,8,173.0,25,4,0,226.0,0.0,['Linda Vista'],173.0,37,210.0,0.8238095238095238
9,41445,Hispanic or Latino,00 -- English,['Caucasian'],[nan],10/06/2009,13,14,175.0,8,13,0,226.0,0.0,['Linda Vista'],175.0,35,210.0,0.8333333333333334
10,41446,Hispanic or Latino,00 -- English,['Caucasian'],[nan],03/08/2013,9,13,175.0,8,14,0,226.0,0.0,['Linda Vista'],175.0,35,210.0,0.8333333333333334
11,41560,Hispanic or Latino,00 -- English,['Caucasian'],[nan],09/17/2010,12,10,175.0,21,4,0,226.0,0.0,['Linda Vista'],175.0,35,210.0,0.8333333333333334
12,44662,Hispanic or Latino,00 -- English,['Caucasian'],"['School Age', 'Emergency Care']",08/17/2011,11,12,166.0,11,5,3,226.0,0.0,['Linda Vista'],166.0,31,197.0,0.8426395939086294
13,44753,Hispanic or Latino,00 -- English,['Caucasian'],['Shelter-In-Place'],06/23/2010,12,0,0.0,0,0,0,44.0,0.0,['Linda Vista'],0.0,0,0.0,
14,45671,Hispanic or Latino,00 -- English,['Caucasian'],[nan],03/09/2011,11,6,194.0,7,3,0,226.0,0.0,['Linda Vista'],194.0,16,210.0,0.9238095238095239
15,45719,Hispanic or Latino,01 -- Spanish,['Caucasian'],"['Admissions Agreement #14 (check box if Yes)', 'Shelter-In-Place']",01/09/2009,13,0,0.0,0,0,0,22.0,0.0,['Linda Vista'],0.0,0,0.0,
16,47026,Hispanic or Latino,01 -- Spanish,['Caucasian'],"['Kidango Staff School Age', 'IEP']",10/12/2014,8,18,60.0,3,5,0,72.0,17.0,"['Unidos', 'Arbuckle', 'Meyer']",60.0,26,86.0,0.6976744186046512
17,47110,Hispanic or Latino,00 -- English,['Caucasian'],"['Admissions Agreement #16 (check box if Yes)', 'Admissions Agreement #15 (check box if Yes)', 'Admissions Agreement #14 (check box if Yes)', 'Shelter-In-Place']",12/12/2014,7,0,1.0,1,0,0,29.0,0.0,['Decoto'],1.0,1,2.0,0.5
18,47174,Hispanic or Latino,00 -- English,['Caucasian'],['School Age'],11/14/2011,10,11,140.0,6,12,1,182.0,0.0,['Linda Vista'],140.0,30,170.0,0.8235294117647058
19,47175,Hispanic or Latino,00 -- English,['Caucasian'],['School Age'],06/11/2013,9,9,138.0,7,16,0,182.0,0.0,['Linda Vista'],138.0,32,170.0,0.8117647058823529
20,47435,Hispanic or Latino,00 -- English,['Caucasian'],['Shelter-In-Place'],02/09/2015,7,0,0.0,0,0,0,30.0,0.0,['Graham'],0.0,0,0.0,
21,47555,Hispanic or Latino,01 -- Spanish,['Caucasian'],['Shelter-In-Place'],09/26/2012,10,1,24.0,0,0,0,104.0,0.0,['Linda Vista'],24.0,1,25.0,0.96
22,47556,Hispanic or Latino,00 -- English,['Caucasian'],['Shelter-In-Place'],10/21/2009,13,1,22.0,0,0,0,82.0,0.0,['Linda Vista'],22.0,1,23.0,0.9565217391304348
23,47620,Hispanic or Latino,01 -- Spanish,['Caucasian'],[nan],12/30/2014,7,4,39.0,0,0,0,43.0,0.0,['Carlson'],39.0,4,43.0,0.9069767441860465
24,47741,Hispanic or Latino,00 -- English,['Caucasian'],['Shelter-In-Place'],10/03/2014,8,10,0.0,0,0,0,0.0,37.0,['Royal Sunset'],0.0,10,10.0,0.0
25,48837,Hispanic or Latino,00 -- English,['Caucasian'],['Shelter-In-Place'],12/09/2010,11,0,3.0,0,0,0,214.0,0.0,['Linda Vista'],3.0,0,3.0,1.0
26,48854,Hispanic or Latino,01 -- Spanish,['Caucasian'],"['Inactive:  Head Start Santa Clara County', 'Admissions Agreement #14 (check box if Yes)', 'Limited English']",04/10/2015,7,0,7.0,0,3,0,0.0,32.0,['Cureton'],7.0,3,10.0,0.7
27,48964,Not Hispanic or Latino,16 -- Farsi ( Persian ),['Asian'],"['Admissions Agreement #14 (check box if Yes)', 'Shelter-In-Place']",04/26/2015,7,0,0.0,0,0,0,0.0,37.0,['Eden Youth'],0.0,0,0.0,
28,49160,Not Hispanic or Latino,00 -- English,['Caucasian'],['Inactive:  Head Start CAPE'],01/29/2015,7,10,2.0,0,0,10,37.0,0.0,['Amador'],2.0,20,22.0,0.09090909090909091
29,49330,Hispanic or Latino,01 -- Spanish,['Caucasian'],[nan],01/16/2011,11,10,51.0,3,0,10,74.0,0.0,['Linda Vista'],51.0,23,74.0,0.6891891891891891
30,49332,Hispanic or Latino,01 -- Spanish,['Caucasian'],['Admissions Agreement #14 (check box if Yes)'],10/09/2014,8,3,27.0,0,2,0,0.0,32.0,['Hubbard'],27.0,5,32.0,0.84375
31,49367,Not Hispanic or Latino,00 -- English,['Caucasian'],['Shelter-In-Place'],05/13/2015,7,0,0.0,0,0,0,39.0,0.0,['Paul Miller'],0.0,0,0.0,
32,49372,Not Hispanic or Latino,16 -- Farsi ( Persian ),['Asian'],"['Admissions Agreement #16 (check box if Yes)', 'Shelter-In-Place', 'Admissions Agreement #15 (check box if Yes)']",12/24/2014,7,0,0.0,0,0,0,39.0,0.0,['Paul Miller'],0.0,0,0.0,
33,49384,Hispanic or Latino,00 -- English,['Black or African American'],['Emergency Care'],03/25/2015,7,2,35.0,0,0,0,37.0,0.0,['Amador'],35.0,2,37.0,0.9459459459459459
