,ChildID,ChildEthnicity,ChildLanguage,ChildRace,ChildFlags,ChildDateofBirth,Age (as of current day),Best Interest,In Attendance,Other,Sick,Unexcused Absence,FD,PD,Center,Total Attendance,Total Absence,Total Days,Attendance Rate
0,31583,Hispanic or Latino,00 -- English,['Caucasian'],['Emergency Care'],05/22/2010,12,0,3.0,0,0,3,104.0,0.0,['Linda Vista'],3.0,3,6.0,0.5
1,37814,Hispanic or Latino,00 -- English,['Caucasian'],"['Admissions Agreement #14 (check box if Yes)', 'Admissions Agreement #16 (check box if Yes)', 'Admissions Agreement #15 (check box if Yes)', 'School Age']",09/22/2009,13,1,94.0,27,2,0,142.0,0.0,['Linda Vista'],94.0,30,124.0,0.7580645161290323
2,37815,Hispanic or Latino,00 -- English,['Caucasian'],"['Admissions Agreement #15 (check box if Yes)', 'School Age', 'Admissions Agreement #16 (check box if Yes)', 'Admissions Agreement #14 (check box if Yes)']",01/01/2012,10,9,254.0,57,17,0,355.0,0.0,['Linda Vista'],254.0,83,337.0,0.7537091988130564
3,40481,Hispanic or Latino,00 -- English,['Caucasian'],[nan],03/08/2013,9,5,237.0,6,17,0,347.0,0.0,['Linda Vista'],237.0,28,265.0,0.8943396226415095
4,40605,Hispanic or Latino,00 -- English,['Caucasian'],['Emergency Care'],10/12/2010,12,18,225.0,34,64,0,341.0,0.0,['Linda Vista'],225.0,116,341.0,0.6598240469208211
5,40967,Hispanic or Latino,00 -- English,['Caucasian'],[nan],12/07/2012,9,3,273.0,2,12,0,347.0,0.0,['Linda Vista'],273.0,17,290.0,0.9413793103448276
6,41176,Hispanic or Latino,00 -- English,['Caucasian'],[nan],04/22/2010,12,19,268.0,43,17,0,347.0,0.0,['Linda Vista'],268.0,79,347.0,0.7723342939481268
7,41445,Hispanic or Latino,00 -- English,['Caucasian'],[nan],10/06/2009,13,9,103.0,5,18,0,135.0,0.0,['Linda Vista'],103.0,32,135.0,0.762962962962963
8,41446,Hispanic or Latino,00 -- English,['Caucasian'],[nan],03/08/2013,9,21,270.0,35,21,0,347.0,0.0,['Linda Vista'],270.0,77,347.0,0.7780979827089337
9,41560,Hispanic or Latino,00 -- English,['Caucasian'],[nan],09/17/2010,12,12,270.0,37,18,10,347.0,0.0,['Linda Vista'],270.0,77,347.0,0.7780979827089337
10,44662,Hispanic or Latino,00 -- English,['Caucasian'],"['School Age', 'Emergency Care']",08/17/2011,11,18,304.0,7,9,3,341.0,0.0,['Linda Vista'],304.0,37,341.0,0.8914956011730205
11,45671,Hispanic or Latino,00 -- English,['Caucasian'],[nan],03/09/2011,11,6,325.0,4,12,0,347.0,0.0,['Linda Vista'],325.0,22,347.0,0.9365994236311239
12,47174,Hispanic or Latino,00 -- English,['Caucasian'],['School Age'],11/14/2011,10,6,219.0,23,37,1,286.0,0.0,['Linda Vista'],219.0,67,286.0,0.7657342657342657
13,47175,Hispanic or Latino,00 -- English,['Caucasian'],['School Age'],06/11/2013,9,7,210.0,21,33,11,282.0,0.0,['Linda Vista'],210.0,72,282.0,0.7446808510638298
14,48837,Hispanic or Latino,00 -- English,['Caucasian'],['Shelter-In-Place'],12/09/2010,11,0,1.0,0,0,0,69.0,0.0,['Linda Vista'],1.0,0,1.0,1.0
15,50046,Hispanic or Latino,00 -- English,['Caucasian'],[nan],05/25/2012,10,12,251.0,33,49,2,347.0,0.0,['Linda Vista'],251.0,96,347.0,0.723342939481268
16,50049,Hispanic or Latino,00 -- English,['Caucasian'],[nan],06/28/2013,9,19,253.0,33,41,1,347.0,0.0,['Linda Vista'],253.0,94,347.0,0.729106628242075
17,50144,Hispanic or Latino,00 -- English,['Caucasian'],"['Admissions Agreement #14 (check box if Yes)', 'School Age', 'Admissions Agreement #15 (check box if Yes)', 'Admissions Agreement #16 (check box if Yes)']",07/04/2015,7,0,255.0,19,2,0,276.0,0.0,['FH'],255.0,21,276.0,0.9239130434782609
18,51387,Hispanic or Latino,01 -- Spanish,['Caucasian'],[nan],09/15/2015,7,18,86.0,5,28,0,137.0,0.0,['Esther Hobbs'],86.0,51,137.0,0.6277372262773723
19,51657,Hispanic or Latino,00 -- English,['Caucasian'],"['Emergency Care', 'School Age']",06/28/2012,10,10,143.0,49,4,5,211.0,0.0,['Linda Vista'],143.0,68,211.0,0.6777251184834123
20,51841,Not Hispanic or Latino,00 -- English,['Asian'],"['Admissions Agreement #15 (check box if Yes)', 'Shelter-In-Place', 'Admissions Agreement #14 (check box if Yes)', 'IEP', 'Admissions Agreement #16 (check box if Yes)']",01/12/2016,6,0,0.0,0,0,0,0.0,104.0,['Eden Youth'],0.0,0,0.0,
21,51842,Not Hispanic or Latino,00 -- English,['Asian'],"['Admissions Agreement #14 (check box if Yes)', 'Admissions Agreement #15 (check box if Yes)', 'Admissions Agreement #16 (check box if Yes)', 'Shelter-In-Place']",01/12/2016,6,0,0.0,0,0,0,0.0,104.0,['Eden Youth'],0.0,0,0.0,
22,52180,Hispanic or Latino,01 -- Spanish,['Caucasian'],"['Admissions Agreement #14 (check box if Yes)', 'Admissions Agreement #16 (check box if Yes)', 'Admissions Agreement #15 (check box if Yes)', 'Limited English']",02/22/2016,6,0,82.0,0,6,0,0.0,88.0,['Hubbard'],82.0,6,88.0,0.9318181818181818
23,52225,Hispanic or Latino,00 -- English,['Caucasian'],['Shelter-In-Place'],10/27/2014,8,0,0.0,0,0,0,104.0,0.0,['Linda Vista'],0.0,0,0.0,
